player_id,player,app_name,developer,source_type,data_source,credentialed,source_date,downloads_30d,downloads_90d,downloads_365d,revenue_30d,revenue_90d,revenue_365d,website_visits_30d,rank_current,rank_30d_avg,rating,review_count,review_velocity_90d,top_countries,notes
patreon,Patreon,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
musora,Musora,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
fretello,Fretello,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
playground-sessions,Playground Sessions,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
tomplay,Tomplay,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
chord-ai,Chord ai,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
musicca,Musicca,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
abrsm,ABRSM,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
rcm,Royal Conservatory of Music,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
school-of-rock,School of Rock,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
flat-io,Flat for Education,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
noteflight,Noteflight,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
donner,Donner,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
gear4music,Gear4music,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
audacity,Audacity,,,credentialed appfigures export,Appfigures / Similarweb / Crunchbase / PitchBook / internal export,true,2026-06-21,,,,,,,,,,,,,,
